"","gene","cntA","cntB","med_pa_len_A","med_pa_len_B","iso_pa_pval","iso_pa_sig","iso_pa_diff"
"1","AAAS",24,24,129.5,141.5,0.449172643442623,"False",12
"3","AAGAB",8,12,80,104.5,0.29353078358209,"False",24.5
"4","AAMP",37,53,79,110,0.207118644067797,"False",31
"6","AARS",13,8,130,137,0.476398514851485,"False",7
"8","AASDHPPT",17,15,133,87,0.100936123348018,"False",46
"9","AATF",54,61,68,82,0.415120588235294,"False",14
"13","ABCE1",18,10,102,92.5,0.460244869402985,"False",9.5
"14","ABCF1",12,6,115,104.5,0.452816205533597,"False",10.5
"15","ABCF2",8,21,96.5,105,0.471515477214101,"False",8.5
"17","ABHD10",22,31,99.5,95,0.480140538400633,"False",4.5
"19","ABHD12",5,9,185,135,0.139127134724858,"False",50
"21","ABI2",5,10,80,105,0.312443181818182,"False",25
"23","ABRACL",28,41,84.5,104,0.380811281337047,"False",19.5
"24","ABT1",16,28,76.5,106.5,0.233551171393342,"False",30
"25","AC007318.5",162,117,112,98,0.426560203504805,"False",14
"29","AC026271.5",5,5,90,103,0.428319256756757,"False",13
"30","AC027612.6",13,17,84,135,0.0810344827586208,"False",51
"32","AC090498.1",6,6,64,60.5,0.477460317460318,"False",3.5
"36","ACACA",15,18,123,143.5,0.398058191018343,"False",20.5
"37","ACADM",10,22,98.5,111.5,0.426560203504805,"False",13
"40","ACAT1",6,7,55,101,0.0759530386740332,"False",46
"41","ACAT2",88,168,70.5,81,0.444795336787565,"False",10.5
"42","ACBD6",17,17,80,100,0.365007241129616,"False",20
"45","ACIN1",17,34,108,158.5,0.0889805825242719,"False",50.5
"46","ACLY",13,22,163,133.5,0.289299242424242,"False",29.5
"48","ACO2",21,17,110,103,0.477460317460318,"False",7
"49","ACOT13",12,33,67.5,74,0.475476487723679,"False",6.5
"50","ACOT7",20,18,104.5,138,0.243826291079812,"False",33.5
"51","ACOT9",8,6,90.5,126,0.205709169054441,"False",35.5
"52","ACP1",51,94,102,98,0.486287128712871,"False",4
"56","ACTB",72,87,134.5,120,0.425511654349062,"False",14.5
"57","ACTG1",51,126,99,96.5,0.492380952380952,"False",2.5
"58","ACTL6A",52,69,103.5,94,0.449172643442623,"False",9.5
"60","ACTN4",5,5,179,202,0.398058191018343,"False",23
"61","ACTR10",26,33,140.5,119,0.36268390386016,"False",21.5
"62","ACTR1A",15,20,95,88,0.468657142857143,"False",7
"63","ACTR1B",27,34,141,188.5,0.148765217391304,"False",47.5
"64","ACTR2",17,17,60,96,0.147032085561497,"False",36
"65","ACTR3",26,24,107.5,70,0.159436026936027,"False",37.5
"68","ACYP1",14,8,123.5,141.5,0.399558823529412,"False",18
"73","ADAM17",5,14,186,115,0.0167857142857143,"True",71
"75","ADAR",8,11,95.5,121,0.286223709369025,"False",25.5
"82","ADH5",55,67,100,92,0.467348826714801,"False",8
"84","ADIPOR1",5,7,132,125,0.472409226826143,"False",7
"86","ADK",13,18,75,101.5,0.257610810810811,"False",26.5
"87","ADNP",8,10,133,166.5,0.247326111744584,"False",33.5
"88","ADRM1",19,21,150,120,0.300491803278688,"False",30
"90","AES",224,1892,107,113,0.47499150382328,"False",6
"92","AFG3L2",10,12,150.5,87,0.0167857142857143,"True",63.5
"94","AGAP3",8,31,111,141,0.290815268614515,"False",30
"95","AGBL5",7,5,64,161,0,"True",97
"96","AGK",9,5,67,79,0.428591470258137,"False",12
"99","AGTRAP",7,30,107,125.5,0.395797526041667,"False",18.5
"100","AHCY",14,11,85.5,89,0.491544550810015,"False",3.5
"101","AHCYL1",7,8,212,146.5,0.0462878787878788,"True",65.5
"103","AHSA1",16,10,110,162,0.096764705882353,"False",52
"105","AIF1L",47,77,114,108,0.483610038610039,"False",6
"106","AIFM1",16,19,74.5,82,0.464494717501148,"False",7.5
"107","AIG1",12,46,66.5,94.5,0.250910099889012,"False",28
"108","AIMP1",9,9,79,134,0.0290952380952381,"True",55
"109","AIMP2",53,52,105,81.5,0.335334947538337,"False",23.5
"110","AIP",15,9,96,142,0.096764705882353,"False",46
"111","AK2",70,66,81.5,65,0.398058191018343,"False",16.5
"112","AK3",9,8,146,146,0.507649784839457,"False",0
"116","AKIP1",7,15,116,67,0.0666199376947041,"False",49
"117","AKIRIN1",7,11,135,72,0.0393347639484979,"True",63
"118","AKR1A1",56,44,102.5,80,0.297841225626741,"False",22.5
"119","AKR1B1",51,85,119,104,0.410153521974714,"False",15
"121","AKT1",9,10,113,103.5,0.463390963577686,"False",9.5
"125","ALDH18A1",15,22,114,146,0.256806768558952,"False",32
"127","ALDH2",6,16,165.5,97.5,0.0393347639484979,"True",68
"129","ALDH7A1",12,20,124,79.5,0.100936123348018,"False",44.5
"130","ALDOA",618,257,93.5,94,0.496687953054884,"False",0.5
"134","ALG5",13,19,101,91,0.454621909840039,"False",10
"135","ALG8",30,57,85,81,0.493792184724689,"False",4
"136","ALKBH1",6,11,138,111,0.303020739404869,"False",27
"137","ALKBH2",34,23,65,92,0.250910099889012,"False",27
"140","ALKBH5",8,11,160,114,0.128053892215569,"False",46
"141","ALKBH7",5,8,159,83.5,0,"True",75.5
"142","ALPL",7,5,68,96,0.248823529411765,"False",28
"143","AMD1",12,12,125.5,136.5,0.449172643442623,"False",11
"147","AMZ2",44,45,90,60,0.219667110519308,"False",30
"148","AMZ2P1",10,13,117,80,0.169722222222222,"False",37
"149","ANAPC10",9,6,48,125,0,"True",77
"150","ANAPC11",64,150,92.5,90.5,0.493792184724689,"False",2
"151","ANAPC13",88,88,86.5,60,0.246655132641292,"False",26.5
"152","ANAPC15",32,60,83.5,93,0.463390963577686,"False",9.5
"153","ANAPC16",14,34,65,88.5,0.312443181818182,"False",23.5
"154","ANAPC2",5,7,187,217,0.333318293683347,"False",30
"156","ANAPC5",14,18,103.5,113.5,0.460244869402985,"False",10
"157","ANAPC7",5,10,102,146.5,0.147032085561497,"False",44.5
"163","ANKRD10",6,6,169.5,130.5,0.217627688172043,"False",39
"168","ANLN",5,7,77,75,0.493568563092633,"False",2
"170","ANP32A",18,15,59.5,107,0.0706358381502891,"False",47.5
"171","ANP32B",24,38,116.5,89.5,0.29353078358209,"False",27
