"ensembl_gene_id"	"external_gene_name"	"description"
"1"	"ENSG00000188529"	"SRSF10"	"serine and arginine rich splicing factor 10 [Source:HGNC Symbol;Acc:HGNC:16713]"
"2"	"ENSG00000125944"	"HNRNPR"	"heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]"
"3"	"ENSG00000133226"	"SRRM1"	"serine and arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:HGNC:16638]"
"4"	"ENSG00000116350"	"SRSF4"	"serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786]"
"5"	"ENSG00000117614"	"SYF2"	"SYF2 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:19824]"
"6"	"ENSG00000162385"	"MAGOH"	"mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]"
"7"	"ENSG00000060688"	"SNRNP40"	"small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]"
"8"	"ENSG00000163877"	"SNIP1"	"Smad nuclear interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30587]"
"9"	"ENSG00000126698"	"DNAJC8"	"DnaJ heat shock protein family (Hsp40) member C8 [Source:HGNC Symbol;Acc:HGNC:15470]"
"10"	"ENSG00000171960"	"PPIH"	"peptidylprolyl isomerase H [Source:HGNC Symbol;Acc:HGNC:14651]"
"11"	"ENSG00000065978"	"YBX1"	"Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]"
"12"	"ENSG00000116754"	"SRSF11"	"serine and arginine rich splicing factor 11 [Source:HGNC Symbol;Acc:HGNC:10782]"
"13"	"ENSG00000084072"	"PPIE"	"peptidylprolyl isomerase E [Source:HGNC Symbol;Acc:HGNC:9258]"
"14"	"ENSG00000183431"	"SF3A3"	"splicing factor 3a subunit 3 [Source:HGNC Symbol;Acc:HGNC:10767]"
"15"	"ENSG00000134748"	"PRPF38A"	"pre-mRNA processing factor 38A [Source:HGNC Symbol;Acc:HGNC:25930]"
"16"	"ENSG00000117751"	"PPP1R8"	"protein phosphatase 1 regulatory subunit 8 [Source:HGNC Symbol;Acc:HGNC:9296]"
