ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
BP	GO:0000904	cell morphogenesis involved in differentiation	473	0.590685966220407	1.36599634518824	1.999996000008e-06	0.000397749204501591	0.000354078239211943	1850	tags=27%, list=15%, signal=24%	ENSG00000187122/ENSG00000074047/ENSG00000065320/ENSG00000168505/ENSG00000147010/ENSG00000144857/ENSG00000158321/ENSG00000066468/ENSG00000184347/ENSG00000277586/ENSG00000135905/ENSG00000106571/ENSG00000154134/ENSG00000114315/ENSG00000082684/ENSG00000145147/ENSG00000129116/ENSG00000143434/ENSG00000140937/ENSG00000106278/ENSG00000110400/ENSG00000154928/ENSG00000114646/ENSG00000182580/ENSG00000169862/ENSG00000125848/ENSG00000011201/ENSG00000135862/ENSG00000138696/ENSG00000132535/ENSG00000162493/ENSG00000171956/ENSG00000163623/ENSG00000115414/ENSG00000185008/ENSG00000196569/ENSG00000147459/ENSG00000124486/ENSG00000151892/ENSG00000179915/ENSG00000251322/ENSG00000063660/ENSG00000171608/ENSG00000007372/ENSG00000154229/ENSG00000108379/ENSG00000079215/ENSG00000083290/ENSG00000186868/ENSG00000075223/ENSG00000116106/ENSG00000154310/ENSG00000115306/ENSG00000198910/ENSG00000171533/ENSG00000153707/ENSG00000158528/ENSG00000108830/ENSG00000163531/ENSG00000184486/ENSG00000077942/ENSG00000100503/ENSG00000173406/ENSG00000117632/ENSG00000137285/ENSG00000175866/ENSG00000171798/ENSG00000187323/ENSG00000131899/ENSG00000170017/ENSG00000140538/ENSG00000143320/ENSG00000114790/ENSG00000107104/ENSG00000169855/ENSG00000080815/ENSG00000103260/ENSG00000155760/ENSG00000162490/ENSG00000099250/ENSG00000100393/ENSG00000149294/ENSG00000167178/ENSG00000221866/ENSG00000112715/ENSG00000169554/ENSG00000118257/ENSG00000094631/ENSG00000158301/ENSG00000198513/ENSG00000069869/ENSG00000130558/ENSG00000100968/ENSG00000181754/ENSG00000121879/ENSG00000158470/ENSG00000197959/ENSG00000118263/ENSG00000117707/ENSG00000197702/ENSG00000131711/ENSG00000178235/ENSG00000169760/ENSG00000175344/ENSG00000102606/ENSG00000251493/ENSG00000181790/ENSG00000111859/ENSG00000047579/ENSG00000115109/ENSG00000179588/ENSG00000148082/ENSG00000092421/ENSG00000198836/ENSG00000040608/ENSG00000114745/ENSG00000128245/ENSG00000173402/ENSG00000111249/ENSG00000162946/ENSG00000109132/ENSG00000151150/ENSG00000114251/ENSG00000165802/ENSG00000006468/ENSG00000077097/ENSG00000206052/ENSG00000132932/ENSG00000100320/ENSG00000182197
BP	GO:0003002	regionalization	190	0.679706177662362	1.54556664570367	1.999996000008e-06	0.000397749204501591	0.000354078239211943	1196	tags=28%, list=10%, signal=26%	ENSG00000136099/ENSG00000074047/ENSG00000168505/ENSG00000185551/ENSG00000066468/ENSG00000148826/ENSG00000106571/ENSG00000114315/ENSG00000109906/ENSG00000009709/ENSG00000157933/ENSG00000177508/ENSG00000140807/ENSG00000205336/ENSG00000188064/ENSG00000081479/ENSG00000182968/ENSG00000090932/ENSG00000138696/ENSG00000064309/ENSG00000171956/ENSG00000163623/ENSG00000087586/ENSG00000198719/ENSG00000185008/ENSG00000136527/ENSG00000182220/ENSG00000173673/ENSG00000076356/ENSG00000185630/ENSG00000007372/ENSG00000108379/ENSG00000180875/ENSG00000129514/ENSG00000075223/ENSG00000166171/ENSG00000163132/ENSG00000196584/ENSG00000197921/ENSG00000120094/ENSG00000164651/ENSG00000169855/ENSG00000080815/ENSG00000075275/ENSG00000099250/ENSG00000139352/ENSG00000100393/ENSG00000168214/ENSG00000198435/ENSG00000163913/ENSG00000164056/ENSG00000169554/ENSG00000118257
CC	GO:0005887	integral component of plasma membrane	462	0.581829381021425	1.34508424687846	1.999996000008e-06	0.000397749204501591	0.000354078239211943	3009	tags=40%, list=25%, signal=31%	ENSG00000136099/ENSG00000006071/ENSG00000059804/ENSG00000125726/ENSG00000186854/ENSG00000144857/ENSG00000066468/ENSG00000178568/ENSG00000068078/ENSG00000183908/ENSG00000166257/ENSG00000157168/ENSG00000106278/ENSG00000125430/ENSG00000139292/ENSG00000187244/ENSG00000110400/ENSG00000154856/ENSG00000154928/ENSG00000114646/ENSG00000218336/ENSG00000118946/ENSG00000141505/ENSG00000171385/ENSG00000182580/ENSG00000134352/ENSG00000139182/ENSG00000125848/ENSG00000144668/ENSG00000118762/ENSG00000174498/ENSG00000138696/ENSG00000132535/ENSG00000105088/ENSG00000064309/ENSG00000162493/ENSG00000170412/ENSG00000198719/ENSG00000177272/ENSG00000157227/ENSG00000076356/ENSG00000179915/ENSG00000205213/ENSG00000197965/ENSG00000170558/ENSG00000079215/ENSG00000058668/ENSG00000139514/ENSG00000169169/ENSG00000198121/ENSG00000170571/ENSG00000147100/ENSG00000150594/ENSG00000198929/ENSG00000116106/ENSG00000128594/ENSG00000105605/ENSG00000166206/ENSG00000153707/ENSG00000177707/ENSG00000125966/ENSG00000091409/ENSG00000163531/ENSG00000113441/ENSG00000124145/ENSG00000103064/ENSG00000044524/ENSG00000169047/ENSG00000125266/ENSG00000188313/ENSG00000105855/ENSG00000244165/ENSG00000168389/ENSG00000158445/ENSG00000187323/ENSG00000090776/ENSG00000112655/ENSG00000132563/ENSG00000117394/ENSG00000128567/ENSG00000170017/ENSG00000140538/ENSG00000138449/ENSG00000196218/ENSG00000169855/ENSG00000080815/ENSG00000129244/ENSG00000185825/ENSG00000075275/ENSG00000168917/ENSG00000099250/ENSG00000114948/ENSG00000118257/ENSG00000004399/ENSG00000064989/ENSG00000164082/ENSG00000181754/ENSG00000213341/ENSG00000162706/ENSG00000197147/ENSG00000096433/ENSG00000040731/ENSG00000178235/ENSG00000170175/ENSG00000169760/ENSG00000175344/ENSG00000101384/ENSG00000144724/ENSG00000136160/ENSG00000205155/ENSG00000138074/ENSG00000115884/ENSG00000136732/ENSG00000005961/ENSG00000167323/ENSG00000069702/ENSG00000082482/ENSG00000040608/ENSG00000117362/ENSG00000166086/ENSG00000064651/ENSG00000129159/ENSG00000095637/ENSG00000091972/ENSG00000104998/ENSG00000163873/ENSG00000101856/ENSG00000111432/ENSG00000120899/ENSG00000151490/ENSG00000159128/ENSG00000181856/ENSG00000137575/ENSG00000165731/ENSG00000116815/ENSG00000151067/ENSG00000115525/ENSG00000070961/ENSG00000092096/ENSG00000155850/ENSG00000133216/ENSG00000104365/ENSG00000105737/ENSG00000154639/ENSG00000067182/ENSG00000183023/ENSG00000185896/ENSG00000160716/ENSG00000105281/ENSG00000122420/ENSG00000105426/ENSG00000139644/ENSG00000146072/ENSG00000123191/ENSG00000109991/ENSG00000249242/ENSG00000162769/ENSG00000157542/ENSG00000135643/ENSG00000155380/ENSG00000077238/ENSG00000108528/ENSG00000127914/ENSG00000196876/ENSG00000004864/ENSG00000124067/ENSG00000183150/ENSG00000105143/ENSG00000164930/ENSG00000130035/ENSG00000196576/ENSG00000154122/ENSG00000078549/ENSG00000132718/ENSG00000142949/ENSG00000171105/ENSG00000130529/ENSG00000134780/ENSG00000179546/ENSG00000204217/ENSG00000008282/ENSG00000108797/ENSG00000168135
BP	GO:0006935	chemotaxis	281	0.604292565503729	1.38553202118303	1.999996000008e-06	0.000397749204501591	0.000354078239211943	1935	tags=29%, list=16%, signal=25%	ENSG00000187122/ENSG00000074047/ENSG00000100604/ENSG00000065320/ENSG00000168505/ENSG00000147010/ENSG00000144857/ENSG00000184347/ENSG00000106571/ENSG00000154134/ENSG00000082684/ENSG00000145147/ENSG00000137801/ENSG00000143434/ENSG00000157168/ENSG00000110400/ENSG00000154928/ENSG00000182580/ENSG00000125848/ENSG00000011201/ENSG00000144668/ENSG00000138696/ENSG00000185008/ENSG00000196569/ENSG00000142871/ENSG00000151892/ENSG00000179915/ENSG00000251322/ENSG00000172817/ENSG00000063660/ENSG00000171608/ENSG00000007372/ENSG00000170989/ENSG00000154229/ENSG00000108379/ENSG00000198121/ENSG00000075223/ENSG00000116106/ENSG00000115306/ENSG00000198910/ENSG00000171951/ENSG00000163531/ENSG00000157404/ENSG00000125266/ENSG00000173406/ENSG00000137285/ENSG00000187323/ENSG00000170017/ENSG00000140538/ENSG00000169855/ENSG00000106211/ENSG00000162490/ENSG00000099250/ENSG00000184588/ENSG00000149294/ENSG00000106538/ENSG00000221866/ENSG00000112715/ENSG00000118257/ENSG00000163377/ENSG00000121879/ENSG00000118263/ENSG00000197702/ENSG00000153551/ENSG00000251493/ENSG00000148400/ENSG00000136160/ENSG00000154188/ENSG00000148082/ENSG00000092421/ENSG00000173402/ENSG00000166086/ENSG00000064651/ENSG00000114251/ENSG00000050820/ENSG00000006468/ENSG00000206052/ENSG00000182197/ENSG00000183087/ENSG00000010810/ENSG00000120899
BP	GO:0007389	pattern specification process	243	0.653851952041624	1.49497229356542	1.999996000008e-06	0.000397749204501591	0.000354078239211943	1196	tags=25%, list=10%, signal=23%	ENSG00000136099/ENSG00000074047/ENSG00000168505/ENSG00000185551/ENSG00000066468/ENSG00000148826/ENSG00000106571/ENSG00000114315/ENSG00000109906/ENSG00000009709/ENSG00000178568/ENSG00000157933/ENSG00000080298/ENSG00000177508/ENSG00000140807/ENSG00000205336/ENSG00000188064/ENSG00000081479/ENSG00000182968/ENSG00000103034/ENSG00000090932/ENSG00000118762/ENSG00000101871/ENSG00000138696/ENSG00000064309/ENSG00000171956/ENSG00000163623/ENSG00000087586/ENSG00000198719/ENSG00000185008/ENSG00000136527/ENSG00000182220/ENSG00000173673/ENSG00000076356/ENSG00000185630/ENSG00000007372/ENSG00000108379/ENSG00000180875/ENSG00000129514/ENSG00000075223/ENSG00000166171/ENSG00000163132/ENSG00000196584/ENSG00000197921/ENSG00000120094/ENSG00000138771/ENSG00000090776/ENSG00000141013/ENSG00000164651/ENSG00000169855/ENSG00000080815/ENSG00000075275/ENSG00000099250/ENSG00000139352/ENSG00000100393/ENSG00000168214/ENSG00000198435/ENSG00000163913/ENSG00000164056/ENSG00000169554/ENSG00000118257
BP	GO:0007409	axonogenesis	294	0.632304312302177	1.45094588745193	1.999996000008e-06	0.000397749204501591	0.000354078239211943	1850	tags=31%, list=15%, signal=27%	ENSG00000187122/ENSG00000074047/ENSG00000065320/ENSG00000168505/ENSG00000147010/ENSG00000144857/ENSG00000158321/ENSG00000066468/ENSG00000184347/ENSG00000277586/ENSG00000106571/ENSG00000154134/ENSG00000082684/ENSG00000145147/ENSG00000143434/ENSG00000140937/ENSG00000106278/ENSG00000110400/ENSG00000154928/ENSG00000182580/ENSG00000125848/ENSG00000011201/ENSG00000138696/ENSG00000171956/ENSG00000163623/ENSG00000115414/ENSG00000185008/ENSG00000196569/ENSG00000124486/ENSG00000151892/ENSG00000179915/ENSG00000251322/ENSG00000063660/ENSG00000171608/ENSG00000007372/ENSG00000154229/ENSG00000108379/ENSG00000083290/ENSG00000186868/ENSG00000075223/ENSG00000116106/ENSG00000115306/ENSG00000198910/ENSG00000108830/ENSG00000163531/ENSG00000184486/ENSG00000100503/ENSG00000173406/ENSG00000117632/ENSG00000137285/ENSG00000175866/ENSG00000187323/ENSG00000131899/ENSG00000170017/ENSG00000140538/ENSG00000143320/ENSG00000169855/ENSG00000080815/ENSG00000103260/ENSG00000162490/ENSG00000099250/ENSG00000149294/ENSG00000167178/ENSG00000221866/ENSG00000112715/ENSG00000169554/ENSG00000118257/ENSG00000094631/ENSG00000198513/ENSG00000130558/ENSG00000181754/ENSG00000121879/ENSG00000158470/ENSG00000118263/ENSG00000131711/ENSG00000178235/ENSG00000251493/ENSG00000181790/ENSG00000148082/ENSG00000092421/ENSG00000040608/ENSG00000173402/ENSG00000162946/ENSG00000109132/ENSG00000151150/ENSG00000114251/ENSG00000006468/ENSG00000077097/ENSG00000206052/ENSG00000132932/ENSG00000182197
BP	GO:0007411	axon guidance	149	0.673825055384328	1.52261836934461	1.999996000008e-06	0.000397749204501591	0.000354078239211943	2054	tags=38%, list=17%, signal=32%	ENSG00000187122/ENSG00000074047/ENSG00000065320/ENSG00000168505/ENSG00000147010/ENSG00000144857/ENSG00000184347/ENSG00000106571/ENSG00000154134/ENSG00000145147/ENSG00000143434/ENSG00000110400/ENSG00000154928/ENSG00000182580/ENSG00000125848/ENSG00000011201/ENSG00000138696/ENSG00000185008/ENSG00000196569/ENSG00000151892/ENSG00000179915/ENSG00000251322/ENSG00000063660/ENSG00000171608/ENSG00000007372/ENSG00000154229/ENSG00000108379/ENSG00000075223/ENSG00000116106/ENSG00000115306/ENSG00000198910/ENSG00000163531/ENSG00000173406/ENSG00000137285/ENSG00000187323/ENSG00000170017/ENSG00000169855/ENSG00000162490/ENSG00000099250/ENSG00000149294/ENSG00000221866/ENSG00000112715/ENSG00000118257/ENSG00000121879/ENSG00000118263/ENSG00000251493/ENSG00000148082/ENSG00000092421/ENSG00000173402/ENSG00000114251/ENSG00000006468/ENSG00000206052/ENSG00000182197/ENSG00000010810/ENSG00000151490/ENSG00000001617/ENSG00000165731
BP	GO:0009952	anterior/posterior pattern specification	104	0.717927527295464	1.60510004746041	1.999996000008e-06	0.000397749204501591	0.000354078239211943	1174	tags=29%, list=10%, signal=26%	ENSG00000136099/ENSG00000074047/ENSG00000168505/ENSG00000185551/ENSG00000106571/ENSG00000114315/ENSG00000109906/ENSG00000157933/ENSG00000140807/ENSG00000090932/ENSG00000064309/ENSG00000171956/ENSG00000087586/ENSG00000198719/ENSG00000182220/ENSG00000173673/ENSG00000076356/ENSG00000185630/ENSG00000007372/ENSG00000108379/ENSG00000075223/ENSG00000163132/ENSG00000196584/ENSG00000120094/ENSG00000080815/ENSG00000075275/ENSG00000100393/ENSG00000168214/ENSG00000198435/ENSG00000169554
BP	GO:0010720	positive regulation of cell development	355	0.584018705964907	1.34466403567487	1.999996000008e-06	0.000397749204501591	0.000354078239211943	1962	tags=31%, list=16%, signal=26%	ENSG00000132872/ENSG00000074047/ENSG00000065320/ENSG00000153162/ENSG00000277586/ENSG00000148826/ENSG00000106571/ENSG00000114315/ENSG00000145147/ENSG00000080298/ENSG00000177508/ENSG00000106278/ENSG00000081479/ENSG00000114646/ENSG00000067715/ENSG00000218336/ENSG00000035862/ENSG00000167191/ENSG00000134352/ENSG00000103034/ENSG00000138760/ENSG00000213420/ENSG00000132535/ENSG00000064309/ENSG00000163623/ENSG00000115414/ENSG00000087586/ENSG00000185008/ENSG00000147459/ENSG00000251322/ENSG00000084093/ENSG00000187391/ENSG00000007372/ENSG00000108379/ENSG00000198121/ENSG00000186868/ENSG00000129514/ENSG00000075223/ENSG00000079841/ENSG00000116106/ENSG00000198910/ENSG00000105605/ENSG00000153707/ENSG00000158528/ENSG00000091409/ENSG00000108830/ENSG00000157404/ENSG00000044524/ENSG00000196584/ENSG00000113657/ENSG00000100503/ENSG00000101412/ENSG00000173406/ENSG00000137285/ENSG00000175866/ENSG00000141699/ENSG00000180357/ENSG00000112655/ENSG00000104897/ENSG00000130477/ENSG00000140538/ENSG00000143320/ENSG00000173376/ENSG00000169855/ENSG00000080815/ENSG00000087087/ENSG00000103260/ENSG00000099250/ENSG00000139352/ENSG00000100393/ENSG00000167178/ENSG00000143858/ENSG00000112715/ENSG00000169554/ENSG00000151208/ENSG00000158301/ENSG00000112367/ENSG00000181754/ENSG00000213859/ENSG00000117707/ENSG00000131711/ENSG00000178235/ENSG00000169760/ENSG00000102606/ENSG00000111859/ENSG00000148400/ENSG00000143761/ENSG00000103528/ENSG00000198836/ENSG00000182158/ENSG00000173402/ENSG00000111249/ENSG00000162946/ENSG00000109132/ENSG00000114251/ENSG00000140854/ENSG00000068971/ENSG00000165802/ENSG00000132932/ENSG00000118513/ENSG00000123268/ENSG00000110107/ENSG00000010810/ENSG00000120899/ENSG00000107263/ENSG00000244405/ENSG00000101040/ENSG00000112697/ENSG00000044090
BP	GO:0021953	central nervous system neuron differentiation	117	0.702320713396735	1.5760298851072	1.999996000008e-06	0.000397749204501591	0.000354078239211943	1399	tags=32%, list=12%, signal=28%	ENSG00000074047/ENSG00000172201/ENSG00000168505/ENSG00000066468/ENSG00000148826/ENSG00000106571/ENSG00000114315/ENSG00000009709/ENSG00000178568/ENSG00000145147/ENSG00000140937/ENSG00000154928/ENSG00000182968/ENSG00000182580/ENSG00000163623/ENSG00000185008/ENSG00000251322/ENSG00000007372/ENSG00000108379/ENSG00000186868/ENSG00000116106/ENSG00000197921/ENSG00000100503/ENSG00000171798/ENSG00000187323/ENSG00000165240/ENSG00000169855/ENSG00000080815/ENSG00000162490/ENSG00000099250/ENSG00000139352/ENSG00000221866/ENSG00000169554/ENSG00000118257/ENSG00000169840/ENSG00000158470/ENSG00000117707
