ensembl_gene_id	logFC	logCPM	PValue	FDR	external_gene_name	description
ENSG00000279457	0.000833943169015966	2.32382544161069	1	1	WASH9P	WAS protein family homolog 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:53981]
ENSG00000248527	-0.644975900128733	2.97439812657114	0.528849347592999	1	MTATP6P1	MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575]
ENSG00000228794	-0.140520553639191	3.37340976577584	0.825213787069216	1	LINC01128	long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377]
ENSG00000230699	0.368515190784152	2.46825167682653	0.595382909741268	1	AL645608.2	novel transcript
ENSG00000188976	-0.0582192987693112	6.96820116401772	0.814121180677254	1	NOC2L	NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517]
ENSG00000187961	-0.258463253512451	4.30256165803249	0.563709462150669	1	KLHL17	kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]
ENSG00000272512	-0.718355718439558	2.70884918482762	0.308235110212779	1	AL645608.7	novel transcript
ENSG00000188290	-0.121024360365331	6.3499706307027	0.65601889003604	1	HES4	hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]
ENSG00000187608	0.517070204429943	3.59185057141715	0.503873774502876	1	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]
ENSG00000188157	0.0389105063794967	8.63724594080927	0.843140436404552	1	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]
ENSG00000131591	-0.210130381402843	4.34838613734314	0.597098934038362	1	C1orf159	chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:HGNC:26062]
ENSG00000078808	-0.00632444794695929	6.09396820032052	0.995375793436051	1	SDF4	stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]
ENSG00000176022	-0.127780909440184	5.13606394717166	0.706462851750034	1	B3GALT6	beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]
ENSG00000160087	-0.1911484740835	5.95559811431165	0.421295948216925	1	UBE2J2	ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]
ENSG00000162572	-1.03423353913627	2.40732123539683	0.151763647081558	1	SCNN1D	sodium channel epithelial 1 delta subunit [Source:HGNC Symbol;Acc:HGNC:10601]
ENSG00000131584	-0.314150704835747	6.54785243351278	0.260595571809873	1	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]
ENSG00000169972	-0.20114417240544	3.79150213815938	0.673125621717278	1	PUSL1	pseudouridine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914]
ENSG00000127054	-0.134298451898899	6.49381718700697	0.556807121813528	1	INTS11	integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052]
ENSG00000224051	0.0104617762031475	4.03830437923657	0.945111569400156	1	CPTP	ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116]
ENSG00000107404	-0.0975562664079493	6.278486370022	0.672921896558432	1	DVL1	dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]
ENSG00000162576	1.21410671213453	2.80822907433868	0.027612302311477	0.562219699158073	MXRA8	matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]
ENSG00000175756	-0.0321358013871874	5.7611055118131	0.914932732321219	1	AURKAIP1	aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]
ENSG00000221978	-0.443048956013154	7.69889056910047	0.0520736415833506	0.732947213731343	CCNL2	cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570]
ENSG00000224870	0.168145661528734	4.56554037911943	0.579383674567212	1	MRPL20-AS1	MRPL20 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27125]
ENSG00000242485	-0.0884932111276243	5.39143737841062	0.762650856397953	1	MRPL20	mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]
ENSG00000179403	-0.450355629440296	3.54454792013313	0.502841245191767	1	VWA1	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]
ENSG00000160072	-0.206650418598495	5.57261207404819	0.487461038987461	1	ATAD3B	ATPase family AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]
ENSG00000197785	-0.401213556289175	5.49271593606523	0.150059939827521	1	ATAD3A	ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]
ENSG00000160075	-0.301467327429184	6.67488587083705	0.179101347512863	1	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]
ENSG00000228594	-0.365711430643302	2.73598804955413	0.491993472513639	1	FNDC10	fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951]
ENSG00000272106	0.0984291153622405	3.22732111226514	0.80479500317574	1	AL691432.2	artifact
ENSG00000197530	-0.587816341382981	5.70589786338711	0.0210320506763574	0.487931457594675	MIB2	mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577]
ENSG00000248333	-0.246891768301334	5.00772871280703	0.492964678866896	1	CDK11B	cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729]
ENSG00000189339	-0.571565041562447	6.67628779863702	0.0145762764976528	0.416693651286122	SLC35E2B	solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]
ENSG00000268575	0.818198344082739	2.2853209807816	0.0759544520685493	0.856506668660744	AL031282.2	novel transcript, readthrough between SLC35E2 and CDK11A
ENSG00000215790	1.15277497904521	4.84674992568269	0.000127899088791471	0.0156324008729004	SLC35E2A	solute carrier family 35 member E2A [Source:HGNC Symbol;Acc:HGNC:20863]
ENSG00000008130	0.0109690481537986	6.03610589432178	0.943183131850439	1	NADK	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]
ENSG00000078369	0.298750862403051	8.79730966735701	0.112399638622474	0.967595827702189	GNB1	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]
ENSG00000067606	-0.0631247839564897	3.59028559004326	0.93752130538481	1	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]
ENSG00000162585	-0.34009372277136	4.51548176988615	0.338057490950249	1	FAAP20	FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]
ENSG00000157933	-0.867585281664106	6.31769202579794	0.000326141652583644	0.0310583801117982	SKI	SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]
ENSG00000116151	-0.336056754065184	4.23967708996626	0.434348692848208	1	MORN1	MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]
ENSG00000157916	-0.0281291360332253	5.80372236169275	0.927066653193992	1	RER1	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]
ENSG00000157911	0.110582346370975	4.31315700735291	0.756210102727781	1	PEX10	peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]
ENSG00000149527	-0.0693671493550917	3.38767103057022	0.972282246348789	1	PLCH2	phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]
ENSG00000157881	0.127283797053724	5.6348963218219	0.619801774641884	1	PANK4	pantothenate kinase 4 [Source:HGNC Symbol;Acc:HGNC:19366]
ENSG00000197921	-1.24340863551744	8.04759907396462	0.037162931976089	0.634327785820479	HES5	hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]
ENSG00000272449	-0.852671371059103	3.35337692703948	0.0947530601141865	0.921975754709769	AL139246.5	novel transcript
ENSG00000157870	-0.351223456674032	4.99927882308854	0.272705544040946	1	PRXL2B	peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]
ENSG00000130762	-0.463241117928635	2.93999627827119	0.396872543581154	1	ARHGEF16	Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]
ENSG00000162591	0.115965056514972	5.82817397699978	0.733077532017473	1	MEGF6	multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]
ENSG00000158109	0.68642398186254	3.95220361653614	0.0750760284095201	0.851572602546621	TPRG1L	tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007]
ENSG00000116213	0.103735868341782	4.92271165999883	0.705072305640163	1	WRAP73	WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]
ENSG00000227372	0.162858785321714	5.57506188752694	0.549211494239381	1	TP73-AS1	TP73 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:29052]
ENSG00000130764	-0.0259815438552753	6.22212544552259	0.940511271219804	1	LRRC47	leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207]
ENSG00000116198	0.0518100058196638	5.17149519988978	0.836652906425064	1	CEP104	centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]
ENSG00000169598	-0.256831296410491	3.22583581130729	0.62324946696264	1	DFFB	DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]
ENSG00000198912	-0.167590491013098	5.23575748974424	0.564515680483901	1	C1orf174	chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915]
ENSG00000196581	0.0414779065177291	2.4198958395861	0.879274100089263	1	AJAP1	adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]
